page,code,label,monies
6074,0019999999,Subtotal - issuer credit obligations - U.S. government obligations,1146626760;1154799100;1147202541;1148383058;-168440;-168440;1148214622;-1587811;-1587811;40423441
6074,0039999999,Subtotal - issuer credit obligations - non-U.S. sovereign jurisdiction securitie,14995943;15026387;15755469;15391985;-459603;-459603;135973;15024930;-43425;-28987;-72412;1526417
6074,0049999999,Subtotal - issuer credit obligations - municipal bonds - general obligations,12322722;11835000;12063041;11910800;-14709;-14709;11896091;426631;426631;733387
6075,0059999999,Subtotal - issuer credit obligations - municipal bonds - special revenue,84693695;81100730;83264456;81292847;-30629;-30629;82764978;1555278;1555278;4125475
6075,0069999999,Subtotal - issuer credit obligations - project finance bonds issued by operating,15234176;15335056;15084099;15112331;22469;22469;15134800;99376;99376;437138
6075,0079999999,Subtotal - issuer credit obligations - project finance bonds issued by operating,294228654;294228654;294232089;288717379;-3435;-3435;162147;294228654;9500318
6131,0089999999,Subtotal - issuer credit obligations - corporate bonds,15429985836;15883160090;15681759982;15510954156;531109;4699055;5230164;10252240;15646958618;1327629;-217236322;-215908693;512654047
6131,0099999999,Subtotal - issuer credit obligations - corporate bonds,15954675;15500000;15496725;15496725;590;590;15497315;457360;457360;1216441
6131,0109999999,Subtotal - issuer credit obligations - mandatory convertible bonds,442468;7000000;828450;828450;828450;-385982;-385982
6136,0129999999,Subtotal - issuer credit obligations - single entity backed obligations,989475205;988839742;988967305;987028069;558543;558543;13990;988630925;-10165;844281;834116;36047709
6136,0139999999,Subtotal - issuer credit obligations - single entity backed obligations,1449485818;1439645817;1427111108;1142517705;-1219657;-1219657;-1902177;1447248290;15106255;2237528;17343783;19743700
6137,0149999999,Subtotal - issuer credit obligations - SVO-identified bond exchange traded funds,618058
6141,0169999999,Subtotal - issuer credit obligations - bonds issued by funds representing operat,3104121938;3143380208;3111227507;2935369340;2729720;2729720;2828483;3118440846;-49091;-14318911;-14368002;131598325
6142,0189999999,Subtotal - issuer credit obligations - bank loans - issued,261991789;263356857;256370575;252441806;1384429;1384429;642169;261991789;4089183;4089183;20889152
6145,0209999999,Subtotal - issuer credit obligations - bank loans - acquired,309462679;309612722;309084063;303859506;419002;419002;569379;309484004;-106351;-21324;-127675;14143106
6145,0219999999,Subtotal - issuer credit obligations - bank loans - acquired,8097482;8097482;8065972;7430575;21747;21747;8097482;369400
6145,0489999999,Total - issuer credit obligations,21369353211;21873445892;21621607488;21262572348;531109;9139837;9670946;14442234;21599370053;5207780;-230653771;-225445991;763196255
6145,0499999999,Total - issuer credit obligations,1767766629;1757471953;1744905894;1454162384;-1200755;-1200755;-1740030;1765071741;15106255;2694888;17801143;30829859
6145,0509999997,Total - issuer credit obligations - Part,23137119840;23630917845;23366513382;22716734732;531109;7939082;8470191;12702204;23364441794;20314035;-227958883;-207644848;794026114
6145,0509999998,Total - issuer credit obligations - Part,18564280029;18585909432;18398870046;8746728;8746728;18406176103;-1391661;158128843;156737182;386540626
6145,0509999999,Total - issuer credit obligations,41701399869;42216827277;41765383428;22716734732;531109;16685810;17216919;12702204;41770617897;18922374;-69830040;-50907666;1180566740
6150,1019999999,Subtotal - asset-backed securities - financial asset-backed securities - self-li,19419435;19092477;-18881734;199400;-19081134;5442662
6151,1029999999,Subtotal - asset-backed securities - financial asset-backed securities - self-li,9943418;9943418;9733549;9825330;118083;118083;9943418;153503
6152,1039999999,Subtotal - asset-backed securities - financial asset-backed securities - self-li,472354824;509357111;453266270;454650017;8487662;8487662;463523004;8831825;8831825;15838262
6224,1059999999,Subtotal - asset-backed securities - financial asset-backed securities - self-li,1396235585;1767976631;1300636954;1132587510;559784;56019074;419137;56159721;-2475928;1389474909;19552519;6760673;26313192;47120020
6225,1069999999,Subtotal - asset-backed securities - financial asset-backed securities - self-li,379051916;373897765;380084339;319533359;67270;-2204111;-2136841;8676007;379051916;1256009;1256009;11537267
6230,1079999999,Subtotal - asset-backed securities - financial asset-backed securities - self-li,1662000756;1690814450;1659398022;1606206592;27593584;1467349;223736;28837197;1677244352;3456;-15243599;-15240143;62437992
6230,1089999999,Subtotal - asset-backed securities - financial asset-backed securities - self-li,92791615;92789098;92789098;92789098;92789098;2517;2517;503701
6265,1099999999,Subtotal - asset-backed securities - financial asset-backed securities - self-li,8956409397;8986992345;8794352661;8729353707;52178949;52178949;72809777;8955185243;75921002;1224151;77145153;407986249
6269,1109999999,Subtotal - asset-backed securities - financial asset-backed securities - self-li,4538869200;4537614720;4507094071;4460782572;4783697;4783697;57999405;4537474210;-771799;1394991;623192;214221365
6272,1119999999,Subtotal - asset-backed securities - financial asset-backed securities - self-li,574977074;578550277;570711115;543900515;775508;775508;576572623;-1595549;-1595549;22945057
6274,1129999999,Subtotal - asset-backed securities - financial asset-backed securities - self-li,1018745538;1025371306;1016430606;862117688;2821416;2821416;1018820538;-75000;-75000;32181620
6275,1319999999,Subtotal - asset-backed securities - financial asset-backed securities - not sel,81020662;81020662;81049337;72847563;2593479;81020662;-28675;-28675;4077588
6275,1329999999,Subtotal - asset-backed securities - financial asset-backed securities - not sel,297528562;297328917;297328917;28988470;540092;297528562;4068108
6277,1519999999,Subtotal - asset-backed securities - non-financial asset-backed securities - pra,125805905;128765702;126759068;127144920;512135;512135;701545;128140936;-460504;-2335030;-2795534;3173071
6277,1529999999,Subtotal - asset-backed securities - non-financial asset-backed securities - pra,61957563;61957563;61901790;48994800;20181;20181;61957563;1989259
6278,1539999999,Subtotal - asset-backed securities - non-financial asset-backed securities - pra,710686975;711171070;693519300;650249567;2006781;2006781;701221987;9464986;9464986;33144726
6278,1549999999,Subtotal - asset-backed securities - non-financial asset-backed securities - pra,814432448;814432477;814432477;563727898;814432477;12676742
6280,1739999999,Subtotal - asset-backed securities - non-financial asset-backed securities - ful,637055832;651896748;644598519;646066119;1134573;1134573;649108988;-12053159;-12053159;26666350
6281,1749999999,Subtotal - asset-backed securities - non-financial asset-backed securities - ful,18606362;18606362;17448782;16917103;-125132;-125132;583264;18606362;1228536;1228536;1116244
6281,1889999999,Total - asset-backed securities,14626490428;15116488414;14353444230;13991924317;28153368;103818380;842273;131129475;73628873;14631436122;94987798;-4945702;90042096;628985480
6281,1899999999,Total - asset-backed securities,7221983204;7221998208;7187510080;6393850988;67270;5296051;5363321;67798768;7220660726;1712746;1322508;3035254;278294306
6281,1909999997,Total - asset-backed securities - Part,21848473632;22338486622;21540954310;20385775305;28220638;109114431;842273;136492796;141427641;21852096848;96700544;-3623194;93077350;907279786
6281,1909999998,Total - asset-backed securities - Part,8050881159;8135466507;8017882222;4874127;71417;4802710;8036840338;14155454;14040819;28196273;119556382
6281,1909999999,Total - asset-backed securities,29899354791;30473953129;29558836532;20385775305;28220638;113988558;913690;141295506;141427641;29888937186;110855998;10417625;121273623;1026836168
6281,2009999999,Total - issuer credit obligations and asset-backed securities,71600754660;72690780406;71324219960;43102510037;28751747;130674368;913690;158512425;154129845;71659555083;129778372;-59412415;70365957;2207402908
6282,4019999999,Subtotal - preferred stocks - industrial and miscellaneous,426326910;425380877;420456339;4924539;4924539;425380877;946033;946033;13154804
6282,4509999997,Total - preferred stocks - Part,426326910;425380877;420456339;4924539;4924539;425380877;946033;946033;13154804
6282,4509999998,Total - preferred stocks - Part,91500527;88876350;88876350;2624178;2624178;1362120
6282,4509999999,Total - preferred stocks,517827437;514257227;420456339;4924539;4924539;514257227;3570211;3570211;14516924
6282,5029999999,Subtotal - common stocks - industrial and miscellaneous,13500000;13500000;13500000;13500000
6282,5989999997,Total - common stocks - Part,13500000;13500000;13500000;13500000
6282,5989999998,Total - common stocks - Part,8211727;8225254;8225254;-13526;-13526
6282,5989999999,Total - common stocks,21711727;21725254;13500000;21725254;-13526;-13526
6282,5999999999,Total - preferred and common stocks,539539164;535982481;433956339;4924539;4924539;535982481;3556685;3556685;14516924
6282,6009999999,Totals,72140293824;71860202441;43536466376;33676286;130674368;913690;163436964;154129845;72195537564;129778372;-55855730;73922642;2221919832
